word,notAllowHomophoneNum,allowHomophoneNum,isCommonlyUsed
安民告示,0,45,false
安内攘外,15,16,false
安贫乐道,56,64,false
安贫乐贱,4,35,false
安贫守道,56,64,false
安然如故,20,35,false
安然无事,43,88,false
安然无恙,0,11,false
安忍无亲,13,25,false
安如盘石,15,60,false
安如磐石,15,60,false
安如太山,70,84,false
安如泰山,70,84,false
安若泰山,70,84,false
安身乐业,3,10,false
安身立命,10,17,false
安身为乐,46,47,false
安身之处,6,19,false
安身之地,28,42,false
安神定魄,5,9,false
安生服业,3,10,false
安生乐业,3,10,false
安时处顺,37,40,false
安室利处,6,19,false
安适如常,3,16,false
安土乐业,3,10,false
安土重旧,17,30,false
安土重居,20,47,false
安土重迁,20,35,false
安危相易,14,60,false
安危与共,4,17,false
安闲自得,47,49,false
安闲自在,12,16,false
安心定志,19,55,false
安心乐业,3,10,false
安心乐意,31,77,false
安心落意,31,77,false
安营下寨,0,5,false
安营扎寨,0,5,false
安于故俗，溺于旧闻,23,30,false
安于盘石,15,60,false
安于现状,0,4,false
安于一隅,0,36,false
安宅正路,10,22,false
安枕而卧,6,11,false
安之若命,10,17,false
安之若素,10,17,false
安坐待毙,0,26,false
鞍不离马，甲不离身,54,64,false
鞍不离马背，甲不离将身,54,64,false
鞍马劳顿,15,18,false
鞍马劳倦,1,9,false
鞍马劳困,5,9,false
鞍马劳神,123,133,false
鞍马之劳,15,19,false
鞍前马后,25,29,false
岸谷之变,34,42,false
岸然道貌,8,14,false
按兵不动,15,22,true
按兵不举,44,71,false
按兵束甲,2,20,false
按步就班,12,20,false
按部就班,12,20,false
按堵如故,20,35,false
按甲寝兵,42,50,false
按甲休兵,42,50,false
按名责实,8,53,false
按捺不住,0,31,true
按辔徐行,56,69,false
按图索骥,2,52,false
按图索骏,1,8,true
按行自抑,3,49,false
案兵束甲,2,20,false
案牍劳形,27,40,false
案牍之劳,15,19,false
案甲休兵,42,50,false
案剑瞋目,88,98,false
案无留牍,0,14,false
暗锤打人,168,176,false
暗淡无光,22,23,false
暗斗明争,21,32,false
暗度陈仓,4,7,false
暗度金针,8,18,false
暗渡陈仓,4,7,false
暗箭明枪,4,11,false
暗箭难防,13,20,false
暗箭伤人,168,176,false
暗箭中人,168,176,false
暗绿稀红,16,26,false
暗昧之事,43,88,false
暗气暗恼,1,4,false
暗弱无断,58,60,false
暗室不欺,18,56,false
暗室逢灯,5,9,false
暗室亏心,199,208,false
暗室欺心,199,208,false
暗室求物,26,46,false
暗室私心,199,208,false
暗室屋漏,10,15,false
暗送秋波,12,25,false
暗无天日,132,132,false
暗香疏影,3,21,false
暗中摸索,4,8,false
黯淡无光,22,23,false
黯晦消沉,37,46,false
黯然伤神,123,133,false
黯然神伤,10,15,false
黯然失色,10,13,false
黯然无色,10,13,false
黯然销魂,43,46,false
昂昂自若,24,0,false
昂藏七尺,27,44,false
昂然直入,31,39,false
昂然自得,47,49,false
昂然自若,24,25,false
昂首阔步,13,21,false
昂首伸眉,16,23,false
昂首天外,15,16,false
昂首挺胸,20,25,false
昂首望天,176,183,false
昂头阔步,13,21,false
昂头天外,15,16,false
昂头挺胸,20,25,false
昂霄耸壑,0,13,false
盎盂相击,18,68,false
盎盂相敲,23,35,false
敖不可长,74,84,false
敖世轻物,26,46,false
嗷嗷待哺,1,9,false
遨翔自得,47,49,false
熬肠刮肚,1,15,false
熬更守夜,12,19,false
熬姜呷醋,0,6,false
熬枯受淡,12,28,false
熬清守淡,12,28,false
熬清守谈,26,40,false
熬清受淡,12,28,false
熬心费力,25,57,false
熬油费火,29,37,false
聱牙佶屈,7,17,false
聱牙戟口,55,58,false
聱牙诘曲,16,26,false
聱牙诘屈,7,17,false
謷牙诘屈,7,17,false
鳌愤龙愁,20,30,false
鳌里夺尊,9,11,false
鳌鸣鳖应,21,39,false
鳌头独占,1,16,false
鳌掷鲸呿,0,10,false
鳌掷鲸吞,16,20,false
傲不可长,74,84,false
傲骨嶙嶙,0,8,false
傲慢不逊,0,11,false
傲慢少礼,14,46,false
傲慢无礼,14,46,false
傲睨得志,19,55,false
傲睨万物,26,46,false
傲睨一切,19,25,false
傲睨一世,13,58,false
傲睨自若,24,25,false
傲然挺立,19,51,false
傲然屹立,19,51,false
傲世轻物,26,46,false
傲霜斗雪,23,29,false
傲头傲脑,0,3,false
傲贤慢士,6,51,false
傲雪凌霜,7,10,false
傲雪欺霜,7,10,false
奥妙无穷,40,43,false
奥援有灵,6,18,false
懊悔无及,6,56,false
八百孤寒,17,33,false
八拜之交,15,39,false
八窗玲珑,0,6,false
八斗之才,43,50,false
八方风雨,46,82,false
八方呼应,21,39,false
八方支持,20,37,false
八方支援,4,19,false
八府巡按,13,19,false
八公山上，草木皆兵,42,50,false
八纮同轨,0,13,false
八荒之外,15,16,false
八街九陌,0,15,false
八九不离十,77,122,false
八面见光,22,23,false
八面玲珑,0,6,false
八面驶风,172,186,false
八面受敌,8,22,false
八面威风,172,186,false
八面莹澈,0,4,false
八面圆通,61,69,false
八面张罗,7,17,false
八难三灾,1,5,false
八万四千,162,177,false
八仙过海,37,41,false
八仙过海，各显神通,61,69,false
八音迭奏,0,1,false
八音遏密,4,14,false
八珍玉食,49,94,false
八字打开,51,53,false
八字没见一撇,0,0,false
八字没一撇,0,0,false
巴巴急急,45,95,false
巴巴劫劫,2,23,false
巴巴结结,7,28,false
巴高望上,41,46,false
巴高枝儿,4,9,false
巴前算后,25,29,false
巴人下里,7,39,false
巴三览四,52,63,false
巴三揽四,52,63,false
巴山度岭,0,12,false
巴山蜀水,79,81,false
巴山夜雨,46,82,false
巴山越岭,0,12,false
巴头探脑,0,3,false
扒耳搔腮,0,0,false
扒高踩低,18,32,false
抜格不入,31,39,false
拔本塞原,10,25,false
拔本塞源,8,23,false
拔丛出类,0,7,false
拔萃出类,0,7,false
拔萃出群,15,17,false
拔刀相向,10,24,false
拔刀相助,8,39,false
拔地参天,176,183,false
拔地摇山,70,84,false
拔地倚天,176,183,false
拔丁抽楔,0,14,false
拔锅卷席,12,43,false
拔剑论功,24,37,false
拔葵啖枣,0,7,false
拔葵去织,2,38,false
拔来报往,2,12,false
拔类超群,15,17,false
拔了萝卜地皮宽,12,13,false
拔毛济世,13,58,false
拔毛连茹,3,11,false
拔茅连茹,3,11,false
拔苗助长,74,84,false
拔群出萃,0,6,false
拔山超海,37,41,false
拔山盖世,13,58,false
拔山举鼎,23,28,true
拔山扛鼎,23,28,false
拔十得五,77,97,false
拔十失五,77,97,false
拔树撼山,70,84,false
拔树搜根,22,23,false
拔树寻根,22,23,false
拔犀擢象,5,19,false
拔辖投井,19,38,false
拔新领异,18,64,false
拔宅飞升,3,13,false
拔宅上升,3,13,false
拔赵易汉,2,18,false
拔赵帜立赤帜,0,36,false
拔赵帜易汉帜,0,36,false
拔帜树帜,0,36,false
拔帜易帜,0,36,false
跋胡痜尾,3,35,false
跋扈飞扬,21,32,false
跋扈自恣,7,22,true
跋扈恣睢,0,7,true
跋来报往,2,12,false
跋履山川,3,9,false
跋前踕后,25,29,false
跋前痜后,25,29,false
跋前踬后,25,29,false
跋山涉川,3,9,false
跋山涉水,79,81,false
跋涉山川,3,9,false
把臂入林,11,19,false
把臂徐去,16,26,false
把持不定,3,8,false
把饭叫饥,19,69,false
把酒持螯,0,9,true
把素持斋,0,5,false
把玩无厌,2,30,false
把薪助火,29,37,false
罢黜百家,56,74,false
霸道横行,56,69,false
霸陵醉尉,0,32,false
霸王别姬,0,50,false
霸王风月,35,43,false
白白朱朱,23,54,false
白璧青蝇,16,34,false
白璧三献,2,21,false
白璧微瑕,2,15,false
白璧无瑕,2,15,false
白草黄云,90,99,false
白齿青眉,16,23,false
白刀子进，红刀子出,106,119,false
白藋同心,199,208,false
白丁俗客,0,13,false
白发苍苍,11,14,false
白发苍颜,4,32,false
白发丹心,199,208,false
白发红颜,4,32,false
白发千丈,0,10,false
白发青衫,0,14,false
白发朱颜,4,32,false
白饭青刍,1,14,false
白骨露野,13,20,false
白骨再肉,12,13,false
白圭之玷,0,9,false
白黑不分,74,82,false
白黑颠倒,32,40,false
白黑分明,70,77,false
白虹贯日,132,132,false
白华之怨,8,23,false
白话八股,2,17,false
白袷蓝衫,0,14,false
白驹过隙,1,32,false
白驹空谷,2,17,false
白蜡明经,19,38,false
白浪掀天,176,183,false
白龙鱼服,3,40,false
白旄黄钺,0,8,false
白眉赤眼,27,55,false
白面儒冠,10,18,false
白面儒生,48,58,false
白面书郎,1,8,false
白面书生,48,58,false
白帢青衫,0,14,false
白日飞升,3,13,false
白日见鬼,37,50,false
白日青天,176,183,false
白日上升,3,13,false
白日升天,176,183,false
白日绣衣,40,86,false
白日衣绣,2,12,false
白日作梦,11,17,false
白日做梦,11,17,false
白色恐怖,0,8,false
白沙在涅，与之俱黑,17,17,false
白山黑水,79,81,false
白手成家,56,74,false
白手空拳,6,12,false
白手起家,56,74,false
白手兴家,56,74,false
白首北面,55,63,false
白首不渝,0,36,false
白首空归,20,33,false
白首齐眉,16,23,false
白首穷经,19,38,false
白首如新,13,22,false
白首同归,20,33,false
白首为郎,1,8,false
白首相知,48,84,false
白首相庄,3,7,false
白首一节,4,25,false
白首之心,199,208,false
白水鉴心,199,208,false
白叟黄童,4,12,false
白天见鬼,37,50,false
白头不终,9,17,false
白头到老,45,49,false
白头而新,13,22,false
白头如新,13,22,false
白头相并,11,19,false
白头相守,19,28,false
白头偕老,45,49,false
白头之叹,2,16,false
白兔赤乌,20,40,false
白往黑来,25,27,false
白屋寒门,24,26,false
白屋之士,6,51,false
白雪皑皑,0,10,false
白雪难和,17,30,false
白雪阳春,47,54,false
白眼相看,15,21,false
白衣苍狗,45,52,false
白衣公卿,0,13,false
白衣卿相,58,72,false
白衣秀士,6,51,false
白衣宰相,58,72,false
白蚁争穴,0,6,false
白鱼赤乌,20,40,false
白鱼登舟,2,11,false
白鱼入舟,2,11,false
白玉微瑕,2,15,false
白玉无瑕,2,15,false
白云苍狗,45,52,false
白云孤飞,65,78,false
白云亲舍,19,29,false
白纸黑字,5,20,false
百般刁难,21,25,false
百般奉承,11,26,false
百般抚慰,0,32,false
百般折磨,29,44,false
百宝万货,4,12,false
百弊丛生,48,58,false
百不当一,688,734,false
百不获一,688,734,false
百不失一,688,734,false
百不为多，一不为少,15,20,false
百不一存,9,11,false
百不一贷,0,7,false
百不一遇,8,44,false
百步穿杨,8,19,false
百城之富,27,64,false
百尺竿头,40,43,false
百尺竿头，更进一步,13,21,false
百尺无枝,23,59,false
百川朝海,37,41,false
百川赴海,37,41,false
百川归海,37,41,false
百辞莫辩,3,11,false
百代过客,0,13,false
百代文宗,1,4,false
百动不如一静,6,25,false
百读不厌,2,30,false
百堵皆作,24,30,false
百端待举,44,71,false
百端交集,6,56,false
百堕俱举,44,71,false
百二关河,40,53,false
百二河山,70,84,false
百二金瓯,0,6,false
百二山川,3,9,false
百二山河,40,53,false
百发百中,17,25,false
百凡待举,44,71,false
百废待举,44,71,false
百废待兴,29,42,false
百废具举,44,71,false
百废具兴,29,42,false
百废具作,24,30,false
百废俱举,44,71,false
百废俱兴,29,42,false
百废咸举,44,71,false
百福具臻,0,10,false
百感交集,6,56,true
百怪千奇,17,55,false
百鬼众魅,0,7,false
百花齐放,45,52,true
百花齐放，百家争鸣,17,24,false
百花生日,132,132,false
百花争妍,1,29,false
百花争艳,3,31,false
百卉千葩,0,4,false
百喙莫辩,3,11,false
百喙难辩,3,11,false
百喙难辞,14,20,false
百喙如一,688,734,false
百喙一词,15,21,false
百计千方,27,34,false
百计千谋,14,15,false
百计千心,199,208,false
百家争鸣,17,24,false
百结愁肠,0,13,false
百结悬鹑,4,11,false
百举百捷,3,24,false
百举百全,18,24,false
百孔千疮,0,5,false
百孔千创,7,12,false
百口莫辩,3,11,false
百口难分,74,82,false
百口同声,26,36,false
百里挑一,688,734,false
百里之才,43,50,false
百炼成刚,7,12,false
百炼成钢,1,6,false
百了千当,36,39,false
百伶百俐,0,32,false
百龄眉寿,5,14,false
百虑一致,1,37,false
百虑攒心,199,208,false
百媚千娇,4,28,false
百密一疏,3,27,false
百谋千计,62,112,false
百年不遇,8,44,false
百年大计,62,112,false
百年大业,3,10,false
百年好合,10,23,false
百年好事,43,88,false
百年难遇,8,44,false
百年树人,168,176,false
百年偕老,45,49,false
百年谐老,45,49,false
百年之柄,0,8,false
百年之好,50,58,false
百年之后,25,29,false
百年之业,3,10,false
百年之约,1,9,false
百念皆灰,12,36,false
百鸟朝凤,52,66,false
百品千条,7,13,false
百巧成穷,40,43,false
百巧千穷,40,43,false
百忍成金,125,145,false
百舌之声,26,36,false
百舍重茧,0,31,false
百舍重趼,0,31,false
百身何赎,0,24,false
百身莫赎,0,24,false
百世不磨,29,44,false
百世不易,14,60,false
百世流芳,1,8,false
百世流芬,0,8,false
百世师,8,53,false
百世一人,168,176,false
百世之利,22,54,false
百世之师,8,53,false
百事大吉,12,62,false
百事无成,46,61,false
百兽率舞,15,35,false
百顺百依,23,69,false
百顺千随,46,53,false
百思不得其解,30,51,false
百思不解,30,51,false
百思莫解,30,51,false
百死一生,48,58,false
百岁千秋,29,33,false
百岁之好,50,58,false
百岁之后,25,29,false
百岁之盟,0,6,false
百万买宅，千万买邻,1,9,false
百万雄兵,42,50,false
百万雄师,8,53,false
百闻不如一见,73,104,false
百无禁忌,0,50,false
百无聊赖,0,2,false
百无是处,6,19,false
百无所成,46,61,false
百无一成,46,61,false
百无一堪,0,6,false
百无一能,19,19,false
百无一失,22,67,false
百无一是,10,55,false
百无一用,17,26,false
百下百全,18,24,false
百下百着,3,9,false
百星不如一月,35,43,false
百业萧条,7,13,false
百衣百随,46,53,false
百依百从,34,36,false
百依百顺,37,40,false
百依百随,46,53,false
百载树人,168,176,false
百战百败,18,25,false
百战百胜,4,14,false
百战不殆,1,8,false
百丈竿头,40,43,false
百折不摧,15,21,false
百折不回,29,53,false
百折不挠,3,6,false
百折不屈,7,17,false
百折不移,38,84,false
百折千回,29,53,false
百中百发,42,45,false
百啭千声,26,36,false
百拙千丑,4,14,false
百紫千红,16,26,false
百纵千随,46,53,false
百足不僵,1,10,false
百足之虫,2,8,false
百足之虫，断而不蹶,0,12,false
百足之虫，死而不僵,1,10,false
百足之虫，至断不蹶,0,12,false
百足之虫，至死不僵,1,10,false
柏舟之节,4,25,false
柏舟之誓,11,56,false
捭阖纵横,63,67,false
摆尾摇头,40,43,false
摆袖却金,125,145,false
败不旋踵,7,15,false
败材伤锦,27,47,false
败德辱行,56,69,false
败法乱纪,1,51,false
败鼓之皮,7,21,false
败国丧家,56,74,false
败国亡家,56,74,false
败化伤风,172,186,false
败绩失据,5,32,false
败将残兵,42,50,false
败井颓垣,0,15,false
败军之将,32,41,false
败鳞残甲,2,20,false
败柳残花,43,50,false
败事有余，成事不足,18,22,false
败俗伤风,172,186,false
败俗伤化,17,24,false
败兴而归,20,33,false
败于垂成,46,61,false
拜赐之师,8,53,false
拜倒辕门,24,26,false
拜恩私室,7,52,false
拜鬼求神,123,133,false
拜将封侯,2,6,false
稗官小说,32,38,false
稗官野史,1,46,false
扳龙附凤,52,66,false
班班可考,0,3,false
班驳陆离,29,61,false
班功行赏,22,27,false
班荆道故,20,35,false
班荆道旧,17,30,false
班马文章,4,14,false
班门弄斧,2,39,false
班师得胜,4,14,false
班师回朝,60,65,false
班师回俯,14,51,false
班香宋艳,3,31,false
班衣戏采,9,16,false
班衣戏彩,3,10,false
斑驳陆离,29,61,false
斑衣戏彩,3,10,false
搬唇递舌,8,18,false
搬唇弄舌,8,18,false
搬斤播两,33,38,false
搬口弄舌,8,18,false
搬弄是非,15,28,false
搬起石头打自己的脚,6,30,false
搬石砸脚,6,30,false
阪上走丸,0,10,false
板板六十四,52,63,false
板上钉钉,2,7,false
板上砸钉,2,7,false
版版六十四,52,63,false
版筑饭牛,35,37,false
半半拉拉,9,10,false
半半路路,10,22,false
半壁河山,70,84,false
半壁江山,70,84,true
半壁山河,40,53,false
半部论语,20,56,false
半部论语治天下,31,44,false
半痴不颠,21,30,false
半筹不纳,7,9,false
半筹莫展,2,15,false
半低不高,124,129,false
半懂不懂,0,7,false
半饥半饱,17,29,false
半间半界,0,0,false
半间不界,0,0,false
半截入土,16,26,false
半解一知,48,84,false
半斤八两,33,38,false
半斤八面,55,63,false
半路出家,56,74,false
半路修行,56,69,false
半梦半醒,0,13,false
半面不忘,20,30,false
半面之交,15,39,false
半面之旧,17,30,false
半青半黄,62,68,false
半三不四,52,63,false
半上半下,31,44,false
半上落下,31,44,false
半身不遂,7,14,false
半生半熟,7,31,false
半生不熟,7,31,false
半丝半缕,0,7,false
半死半生,48,58,false
半死不活,10,18,false
半死辣活,10,18,false
半涂而罢,0,8,false
半涂而废,7,20,false
半途而废,7,20,true
半吐半露,15,27,false
半推半就,6,19,false
半吞半吐,10,20,false
半文半白,101,108,false
半文不白,101,108,false
半新半旧,17,30,false
半新不旧,17,30,false
半信半疑,12,58,true
半信不信,18,27,false
半夜三更,17,23,true
半疑半信,18,27,false
半真半假,21,39,false
伴食宰相,58,72,false
伴食中书,16,40,false
邦国殄瘁,0,6,false
邦以民为本,11,14,false
帮狗吃食,49,94,false
帮虎吃食,49,94,false
帮闲钻懒,0,8,false
榜上无名,56,63,false
蚌病成珠,28,59,false
蚌病生珠,28,59,false
蚌鹬相持,20,37,false
傍观冷眼,27,55,false
傍观者清,50,63,false
傍观者审，当局者迷,26,36,false
傍花随柳,39,44,false
傍人篱壁,2,28,false
傍人篱落,24,34,false
傍人门户,5,22,false
傍若无人,168,176,false
棒打鸳鸯,0,11,false
徬徨失措,2,8,false
包办代替,3,21,false
包藏祸心,199,208,false
包藏奸心,199,208,false
包打天下,31,44,false
包举宇内,12,12,true
包揽词讼,0,6,false
包罗万象,5,19,false
包罗万有,137,155,false
包羞忍耻,3,20,false
苞苴竿牍,0,14,false
褒贬与夺,5,12,false
褒善贬恶,30,45,false
褒衣博带,8,15,false
褒衣危冠,10,18,false
宝刀不老,45,49,false
宝刀未老,45,49,false
宝马香车,18,22,false
宝山空回,29,53,false
宝珠市饼,0,8,false
饱谙世故,20,35,false
饱汉不知饿汉饥,19,69,false
饱经沧桑,24,25,false
饱经风霜,7,10,false
饱经风雨,46,82,false
饱经世变,34,42,false
饱经世故,20,35,false
饱经霜雪,23,29,false
饱经忧患,4,13,false
饱练世故,20,35,false
饱暖生淫欲,16,52,false
饱暖思淫欲,16,52,false
饱人不知饿人饥,19,69,false
饱食暖衣,40,86,false
饱食终日,132,132,false
饱飨老拳,6,12,false
饱学之士,6,51,false
饱以老拳,6,12,false
保残守缺,5,11,false
保国安民,29,32,false
保家卫国,20,23,false
保境息民,29,32,false
保泰持盈,6,24,false
保盈持泰,13,18,false
报本反始,9,54,false
报冰公事,43,88,false
报仇雪耻,3,20,false
报仇雪恨,6,7,false
报雠雪恨,6,7,false
报李投桃,26,35,false
报效万一,688,734,false
报应不爽,3,6,false
抱宝怀珍,2,12,false
抱表寝绳,9,19,false
抱冰公事,43,88,false
抱不平,33,39,false
抱布贸丝,4,15,false
抱残守缺,5,11,false
抱残守阙,0,6,false
抱成一团,2,3,false
抱诚守真,26,36,false
抱打不平,33,39,false
抱法处势,20,65,false
抱负不凡,8,22,false
抱关击柝,0,6,false
抱关执钥,0,8,false
抱关执籥,0,8,false
抱恨黄泉,0,6,false
抱恨终天,176,183,false
抱火厝薪,0,9,false
抱火寝薪,0,9,false
抱火卧薪,0,9,false
抱令守律,0,7,false
抱蔓摘瓜,13,17,false
抱璞泣血,20,26,false
抱朴含真,26,36,false
抱椠怀铅,0,15,false
抱屈衔冤,7,22,false
抱头大哭,4,8,false
抱头鼠窜,0,5,false
抱头痛哭,4,8,false
抱瓮出灌,1,9,false
抱瓮灌园,0,15,false
抱薪救焚,22,30,false
抱薪救火,29,37,false
抱玉握珠,28,59,false
抱怨雪耻,3,20,false
抱枝拾叶,3,10,false
抱柱之信,18,27,false
抱子弄孙,1,2,false
豹死留皮,7,21,false
豹头环眼,27,55,false
鲍鱼之次,0,6,false
鲍鱼之肆,5,16,false
鲍子知我,6,11,false
暴风疾雨,46,82,false
暴风骤雨,46,82,false
暴虎冯河,40,53,false
暴戾恣睢,0,7,true
暴敛横征,1,12,false
暴露无遗,82,128,false
暴内陵外,15,16,false
暴虐无道,56,64,false
暴取豪夺,5,12,false
暴腮龙门,24,26,false
暴殄天物,26,46,false
暴跳如雷,12,19,false
暴衣露盖,7,9,false
暴衣露冠,10,18,false
暴躁如雷,12,19,false
爆跳如雷,12,19,false
陂湖禀量,17,22,false
卑卑不足道,56,64,false
卑鄙龌龊,0,6,false
卑鄙无耻,3,20,false
卑不足道,56,64,false
卑谄足恭,6,19,false
卑辞厚币,0,26,false
卑辞厚礼,14,46,false
卑辞重币,0,26,false
卑宫菲食,49,94,false
卑躬屈节,4,25,false
卑躬屈膝,5,36,false
卑礼厚币,0,26,false
卑陋龌龊,0,6,false
卑身贱体,8,26,false
卑身屈体,8,26,false
卑以自牧,1,11,false
卑之无甚高论,20,23,false
杯羹之让,4,6,false
杯弓蛇影,3,21,false
杯弓市虎,36,53,false
杯觥交错,6,12,false
杯酒戈矛,0,6,false
杯酒解怨,8,23,false
杯酒释兵权,13,19,false
杯酒言欢,13,22,false
杯茗之敬,27,46,false
杯盘狼籍,0,50,false
杯盘狼藉,0,50,false
杯蛇鬼车,18,22,false
杯蛇幻影,3,21,false
杯水车薪,0,9,false
杯水粒粟,1,8,false
杯水舆薪,0,9,false
杯水之敬,27,46,false
杯水之谢,5,19,false
杯影蛇弓,3,16,false
杯中蛇影,3,21,false
杯中物,26,46,false
杯中之物,26,46,false
悲不自胜,4,14,false
悲愁垂涕,14,32,false
悲从中来,25,27,false
悲愤填膺,1,19,false
悲歌击筑,3,34,false
悲歌慷慨,2,4,false
悲歌易水,79,81,false
悲观厌世,13,58,false
悲欢离合,10,23,false
悲声载道,56,64,false
悲天悯人,168,176,false
悲痛欲绝,26,38,false
悲喜交集,6,56,false
北鄙之声,26,36,false
北鄙之音,4,22,false
北辰星拱,6,19,false
北窗高卧,6,11,false
北道主人,168,176,false
北斗之尊,9,11,false
北风之恋,5,14,false
北宫婴儿,4,9,false
北郭先生,48,58,false
北门管钥,0,8,false
北门南牙,5,15,false
北门锁钥,0,8,false
北门之管,8,16,false
北门之寄,5,55,false
北面称臣,1,10,false
北叟失马,54,59,false
北辕适楚,36,49,false
北辕适粤,0,8,false
北辙南辕,0,15,false
贝阙珠宫,1,14,false
备尝艰苦,19,23,false
备尝辛苦,19,23,false
备多力分,74,82,false
备而不用,17,26,false
备位充数,13,37,false
背暗投明,70,77,false
背碑覆局,8,35,false
背本就末,6,21,false
背本趋末,6,21,false
背城借一,688,734,false
背城一战,10,25,false
背道而驰,10,27,true
背恩负义,19,65,false
背恩弃义,19,65,false
背恩忘义,19,65,false
背腹受敌,8,22,false
背公向私,2,13,false
背公营私,2,13,false
背惠食言,118,146,false
背井离乡,2,16,false
背盟败约,1,9,false
背前面后,25,29,false
背曲腰躬,9,22,false
背曲腰弯,1,11,false
背若芒刺,7,13,false
背山起楼,3,8,false
背生芒刺,7,13,false
背水一战,10,25,false
背乡离井,19,38,false
背信弃义,19,65,false
背义负恩,20,21,false
背义负信,18,27,false
背义忘恩,20,21,false
倍道而进,83,103,false
倍道而行,56,69,false
倍道兼进,83,103,false
倍道兼行,56,69,false
倍日并行,56,69,false
悖入悖出,106,119,false
悖言乱辞,14,20,false
被宠若惊,65,84,false
被发文身,54,64,false
被发缨冠,10,18,false
被发左衽,1,9,false
被褐怀玉,59,95,false
被褐怀珠,28,59,false
被甲持兵,42,50,false
被甲据鞍,7,13,false
被甲枕戈,0,7,false
被甲执兵,42,50,false
被坚执锐,2,5,false
被山带河,40,53,false
被泽蒙庥,0,10,false
奔轶绝尘,3,12,false
奔逸绝尘,3,12,false
奔走呼号,4,12,false
奔走如市,7,52,false
奔走相告,5,10,false
奔走之友,0,18,false
奔走钻营,6,24,false
本固邦宁,7,9,false
本来面目,88,98,false
本末倒置,12,48,false
本末源流,54,59,false
本同末离,29,61,false
本同末异,18,64,false
本乡本土,16,26,false
本相毕露,15,27,false
